species,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Choerodon schoenleinii,1,0,0,0,0,0,0,0,0,1,0
Choerodon typus,0,0,0,0,0,1,0,0,0,1,0
Choerodon venustus,0,0,0,1,0,0,0,0,0,0,0
Choerodon vitta,1,0,0,0,0,0,0,0,0,1,0
Choerodon zamboangae,0,0,0,0,0,1,0,0,0,0,1
Choerodon zosterophorus,0,0,0,0,0,0,1,0,0,0,1
Choeroichthys brachysoma,0,0,1,0,0,1,0,0,0,0,0
Choeroichthys cinctus,0,0,0,0,0,0,0,1,0,0,0
Choeroichthys sculptus,0,0,0,1,0,0,0,1,0,0,0
Chologaster cornuta,0,0,0,0,0,1,0,0,0,0,0
Chondrostoma beysehirense,0,1,0,0,0,0,0,0,0,0,0
Chondrostoma colchicum,0,0,0,0,0,1,0,0,0,0,0
Chondrostoma cyri,1,0,0,0,0,0,0,0,0,0,0
Chondrostoma fahirae,0,1,0,0,0,0,0,0,0,0,0
Chondrostoma holmwoodii,1,0,0,0,0,0,0,0,0,0,0
Chondrostoma knerii,1,0,0,0,0,0,0,0,0,0,0
Chondrostoma meandrense,1,0,0,0,0,0,0,0,0,0,0
Chondrostoma nasus,1,0,0,0,0,0,0,0,0,0,0
Chondrostoma regium,1,0,0,0,0,0,0,0,0,0,0
Chondrostoma soetta,1,0,0,0,0,0,0,0,0,0,0
Chondrostoma vardarense,1,0,0,0,0,0,0,0,0,0,0
Chonerhinos naritus,0,0,0,0,0,0,0,0,0,0,1
Choranthias salmopunctatus,1,0,0,0,0,0,0,0,0,0,0
Choridactylus multibarbus,0,1,0,0,0,0,0,0,0,0,0
Choridactylus striatus,0,0,0,0,0,1,0,0,0,0,0
Chorisochismus dentex,0,1,0,0,0,0,0,0,0,0,0
Chortiheros wesseli,0,0,1,0,0,1,0,0,0,0,0
Chriodorus atherinoides,1,0,0,0,0,0,0,0,0,0,0
Chriolepis cuneata,0,0,0,0,0,0,0,1,0,0,0
Chriolepis dialepta,0,1,0,1,0,0,0,1,0,0,0
Chriolepis fisheri,0,1,0,0,0,0,0,1,0,0,0
Chriolepis minutillus,0,1,0,0,0,0,0,0,0,0,0
Chriolepis semisquamata,0,1,0,1,0,0,0,1,0,0,0
Chriolepis zebra,0,0,0,0,0,0,0,1,0,0,0
Chrionema chlorotaenia,0,1,1,0,0,0,0,0,1,0,0
Chrionema furunoi,0,1,1,0,0,0,0,0,0,0,0
Chromidotilapia guntheri,0,0,0,0,0,0,0,1,0,1,1
Chromidotilapia kingsleyae,1,0,0,0,0,0,0,0,0,1,0
Chromidotilapia linkei,0,0,0,0,0,1,0,1,0,1,0
Chromidotilapia melaniae,1,0,0,0,0,0,0,0,0,1,0
Chromidotilapia mrac,1,0,0,0,0,0,0,0,0,1,0
Chromidotilapia schoutedeni,0,0,0,0,0,0,0,0,0,0,1
Chromileptes altivelis,0,1,1,0,0,0,0,0,0,0,0
Chromis abrupta,0,0,0,0,0,0,0,0,0,0,1
Chromis abyssicola,1,0,0,0,0,0,0,0,0,0,0
Chromis abyssus,0,0,0,1,0,1,0,0,0,0,0
Chromis acares,0,0,0,0,0,0,0,0,0,0,1
Chromis agilis,0,0,0,0,0,0,0,0,0,1,0
Chromis albicauda,1,0,0,0,0,0,0,0,0,0,0
Chromis albomaculata,0,0,0,1,0,0,0,0,0,0,0
Chromis alleni,0,0,0,0,0,0,0,0,0,0,1
Chromis alpha,1,0,0,0,0,0,0,0,0,0,0
Chromis alta,0,0,0,0,0,1,0,0,0,0,0
Chromis amboinensis,1,0,0,0,0,0,0,0,0,0,0
Chromis analis,1,0,0,0,0,0,0,0,0,0,0
Chromis athena,0,0,0,0,0,0,0,0,0,0,1
Chromis atrilobata,0,0,0,0,0,0,0,0,0,1,0
Chromis atripectoralis,0,0,0,0,0,0,0,0,0,1,0
Chromis atripes,0,0,0,0,0,0,0,0,0,0,1
Chromis bami,0,0,0,0,0,0,0,0,0,0,1
Chromis brevirostris,1,0,0,0,0,0,0,0,0,0,0
Chromis cadenati,0,0,0,0,0,1,0,0,0,0,1
Chromis caudalis,0,0,0,0,0,0,0,0,0,0,1
Chromis chromis,0,0,0,0,0,1,0,0,0,0,0
Chromis chrysura,0,0,0,0,0,0,0,0,0,0,1
Chromis cinerascens,1,0,0,0,0,0,0,0,0,0,0
Chromis circumaurea,0,0,0,0,0,0,0,0,0,0,1
Chromis crusma,1,0,0,0,0,0,0,0,0,0,0
Chromis cyanea,1,0,0,0,0,0,0,0,0,0,0
Chromis dasygenys,1,0,0,0,0,0,0,0,0,0,0
Chromis degruyi,0,0,0,0,0,1,0,0,0,0,0
Chromis delta,0,0,0,0,0,0,0,1,0,1,0
Chromis dimidiata,0,0,0,0,0,0,0,0,0,0,1
Chromis dispilus,1,0,0,0,0,0,0,0,0,0,0
Chromis earina,1,0,0,0,0,0,0,0,0,0,0
Chromis elerae,1,0,0,0,0,0,0,0,0,1,0
Chromis enchrysura,0,0,0,0,0,0,0,0,0,0,1
Chromis fatuhivae,0,0,0,0,0,0,0,0,0,0,1
Chromis fieldi,0,0,0,0,0,0,0,0,0,0,1
Chromis flavapicis,1,0,0,0,0,0,0,0,0,0,0
Chromis flavaxilla,1,0,0,0,0,0,0,0,0,0,0
Chromis flavicauda,0,0,0,0,0,0,0,0,0,0,1
Chromis flavipectoralis,0,0,0,0,0,0,0,0,0,0,1
Chromis flavomaculata,1,0,0,0,0,0,0,0,0,0,0
Chromis fumea,1,0,0,0,0,0,0,0,0,0,0
Chromis hanui,0,0,0,0,0,0,0,0,0,0,1
Chromis hypsilepis,1,0,0,0,0,0,0,0,0,0,0
Chromis insolata,0,0,0,0,0,0,0,0,0,0,1
Chromis intercrusma,0,0,0,0,0,0,0,0,0,0,1
Chromis iomelas,0,0,0,0,0,0,0,0,0,0,1
Chromis jubauna,0,0,0,0,0,0,0,0,0,0,1
Chromis kennensis,0,0,0,0,0,0,0,0,0,1,1
Chromis lepidolepis,1,0,0,0,0,0,0,0,0,0,0
Chromis leucura,1,0,0,0,0,0,0,0,0,0,0
Chromis limbata,1,0,0,0,0,0,0,0,0,0,0
Chromis limbaughi,0,0,0,0,0,0,0,0,0,0,1
Chromis lineata,0,0,0,0,0,1,0,0,0,0,0
Chromis lubbocki,0,0,0,1,0,1,0,0,0,0,0
Chromis margaritifer,0,0,0,0,0,0,0,0,0,0,1
Chromis margaritifera,0,0,0,0,0,0,0,0,0,0,1
Chromis mirationis,1,0,0,0,0,1,0,0,0,0,0
Chromis monochroma,1,0,0,0,0,0,0,0,0,0,0
Chromis multilineata,1,0,0,0,0,0,0,0,0,0,0
Chromis nigroanalis,0,0,0,0,0,0,0,0,0,0,1
Chromis nigrura,0,0,0,0,0,1,0,0,0,0,0
Chromis nitida,0,0,0,0,0,0,0,0,0,0,1
Chromis notata,1,0,0,0,0,0,0,0,0,1,0
Chromis notata notata,1,0,0,0,0,0,0,0,0,0,0
Chromis okamurai,0,0,0,0,0,0,0,0,0,1,1
Chromis onumai,0,0,0,0,0,0,0,0,0,1,0
Chromis opercularis,0,0,0,0,0,0,1,0,0,0,1
Chromis ovalis,0,0,0,0,0,0,0,0,0,0,1
Chromis ovatiformes,1,0,0,0,0,0,0,0,0,0,0
Chromis ovatiformis,0,0,0,0,0,0,0,0,0,0,1
Chromis pamae,1,0,0,0,0,0,0,0,0,0,0
Chromis pelloura,0,0,0,0,0,0,0,0,0,0,1
Chromis pembae,0,0,0,0,0,0,0,0,0,0,1
Chromis planesi,1,0,0,0,0,0,0,0,0,0,0
Chromis punctipinnis,0,0,1,0,0,0,0,0,0,0,0
Chromis pura,1,0,0,0,0,0,0,0,0,0,0
Chromis randalli,1,0,0,0,0,0,0,0,0,0,0
Chromis retrofasciata,0,0,0,0,0,0,0,1,0,0,1
Chromis sanctaehelenae,1,0,0,0,0,0,0,0,0,0,0
Chromis scotochiloptera,0,0,0,0,0,0,0,0,0,0,1
Chromis scotti,1,0,0,0,0,0,0,0,0,0,0
Chromis struhsakeri,1,0,0,0,0,0,0,0,0,0,0
Chromis ternatensis,0,0,0,0,0,0,0,0,0,0,1
Chromis trialpha,0,0,0,0,0,0,0,0,0,1,0
Chromis unipa,0,0,0,0,0,1,0,0,0,0,0
Chromis vanderbilti,0,0,0,0,0,1,0,0,0,0,0
Chromis verater,0,0,0,0,0,0,0,0,0,1,0
Chromis viridis,1,0,0,0,0,0,0,0,0,0,0
Chromis weberi,1,0,0,0,0,0,0,0,0,0,0
Chromis westaustralis,1,0,0,0,0,0,0,0,0,0,0
Chromis woodsi,0,0,0,0,0,0,0,1,0,0,1
Chromis xanthochira,0,0,0,0,0,0,0,0,0,0,1
Chromis xanthopterygia,0,0,0,0,0,1,0,0,0,0,0
Chromis xanthura,0,0,0,0,0,0,0,0,0,0,1
Chromis xouthos,1,0,0,0,0,0,0,0,0,0,0
Chromis xutha,1,0,0,0,0,0,0,0,0,0,0
Chromis yamakawai,0,0,0,0,0,0,0,0,0,1,1
Chromobotia macracanthus,0,0,0,0,0,0,1,0,0,0,0
Chromogobius britoi,0,1,0,0,0,0,0,1,0,0,0
Chromogobius quadrivittatus,0,0,0,1,0,0,0,0,0,0,1
Chromogobius zebratus,0,1,0,0,0,0,0,1,0,0,0
Chrosomus cumberlandensis,0,0,0,0,0,1,0,0,0,0,0
Chrosomus eos,0,0,0,0,0,1,0,0,0,0,0
Chrosomus erythrogaster,0,0,0,0,0,1,0,0,0,0,0
Chrosomus neogaeus,0,0,0,0,0,1,0,0,0,0,0
Chrosomus oreas,0,0,1,0,0,1,0,0,0,0,0
Chrysichthys aluuensis,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys auratus,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys brachynema,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys brevibarbis,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys cranchii,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys dageti,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys delhezi,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys dendrophorus,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys depressus,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys duttoni,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys habereri,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys johnelsi,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys levequei,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys longidorsalis,0,0,0,0,0,1,0,0,0,0,0
Chrysichthys longipinnis,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys macropterus,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys maurus,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys nigrodigitatus,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys nyongensis,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys ogooensis,0,1,0,0,0,0,0,0,0,0,0
Chrysichthys ornatus,0,1,0,0,0,0,0,0,1,0,0
Chrysichthys polli,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys teugelsi,1,0,0,0,0,0,0,0,0,0,0
Chrysichthys thysi,1,0,0,0,0,0,0,0,0,0,0
Chrysiptera annulata,0,0,0,0,0,0,0,1,0,0,0
Chrysiptera arnazae,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera biocellata,0,0,0,0,0,0,0,1,0,1,0
Chrysiptera bleekeri,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera brownriggii,0,0,0,0,0,1,0,1,0,1,1
Chrysiptera caeruleolineata,0,0,0,0,0,1,0,0,0,0,0
Chrysiptera cyanea,1,0,0,0,0,0,1,0,0,0,0
Chrysiptera flavipinnis,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera galba,1,0,0,0,0,0,0,0,0,0,0
Chrysiptera giti,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera glauca,1,0,0,1,0,0,1,0,0,0,0
Chrysiptera hemicyanea,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera notialis,1,0,0,0,0,0,0,0,0,0,0
Chrysiptera oxycephala,0,0,1,1,0,0,0,0,0,0,1
Chrysiptera parasema,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera rapanui,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera rex,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera rollandi,0,0,0,0,0,0,1,0,0,0,1
Chrysiptera sheila,0,0,0,0,0,0,0,0,0,1,0
Chrysiptera sinclairi,0,0,0,1,0,0,0,0,0,0,0
Chrysiptera springeri,0,1,0,0,1,0,0,0,0,0,0
Chrysiptera starcki,0,0,0,0,0,0,0,0,0,0,1
Chrysiptera talboti,0,0,0,0,0,0,0,0,0,1,1
Chrysiptera taupou,0,0,0,1,0,1,0,0,0,1,1
Chrysiptera traceyi,0,0,0,0,0,0,0,0,0,1,1
Chrysiptera tricincta,0,0,0,0,0,0,0,1,0,0,0
Chrysiptera unimaculata,0,0,0,0,0,0,1,0,0,1,0
Chrysoblephus anglicus,1,0,0,0,0,0,0,0,0,0,0
Chrysoblephus gibbiceps,0,0,0,0,0,0,0,1,0,0,0
Chrysoblephus laticeps,0,0,0,0,0,0,0,1,0,0,1
Chrysoblephus puniceus,1,0,0,0,0,0,0,0,0,0,0
Chuanchia labiosa,1,0,0,0,0,0,0,0,0,0,0
Cichla intermedia,0,1,0,0,0,1,0,1,0,1,0
Cichla jariina,0,0,0,1,0,1,0,1,0,1,0
Cichla kelberi,0,1,0,1,1,0,0,0,1,1,0
Cichla melaniae,0,0,0,1,0,1,0,1,0,1,0
Cichla mirianae,0,0,1,1,0,1,0,1,0,1,0
Cichla monoculus,0,0,0,1,0,1,0,1,0,1,0
Cichla nigromaculata,0,0,0,0,0,0,0,1,0,1,0
Cichla ocellaris,0,1,1,1,0,0,0,1,0,1,0
Cichla orinocensis,0,1,1,1,1,0,0,1,0,1,0
Cichla pinima,0,1,0,1,0,1,0,1,0,1,0
Cichla piquiti,0,0,0,0,0,0,0,1,0,1,0
Cichla pleiozona,0,1,1,1,1,0,0,1,0,1,0
Cichla temensis,0,0,0,1,0,1,0,1,0,1,0
Cichla thyrorus,0,1,1,0,0,0,0,1,0,1,0
Cichla vazzoleri,0,1,0,1,0,1,0,1,0,1,0
Cichlasoma amazonarum,0,0,0,0,0,0,0,1,0,1,1
Cichlasoma araguaiense,0,0,0,0,0,1,0,1,0,1,0
Cichlasoma bimaculatum,0,0,0,0,0,1,0,1,0,1,1
Cichlasoma boliviense,0,1,0,0,0,1,0,1,0,0,0
Cichlasoma dimerus,0,0,0,0,0,1,0,1,0,1,0
Cichlasoma istlanum,0,1,1,1,0,0,0,1,0,0,1
Cichlasoma orientale,0,0,0,0,0,1,0,1,0,1,0
Cichlasoma orinocense,0,0,0,0,0,1,0,1,0,1,0
Cichlasoma paranaense,0,1,0,0,0,0,0,1,0,1,0
Cichlasoma portalegrense,0,0,0,0,0,1,0,0,0,1,0
Cichlasoma sanctifranciscense,0,0,0,0,0,1,0,0,0,0,0
Cichlasoma taenia,0,0,0,0,0,1,0,1,0,1,0
Cichlasoma trimaculatum,0,1,0,0,0,0,0,1,0,1,1
Ciliata mustela,0,1,0,0,0,0,0,0,0,0,0
Cilus gilberti,1,0,0,0,0,0,0,0,0,0,0
Cincelichthys bocourti,0,1,0,0,0,0,0,1,0,0,1
Cincelichthys pearsei,0,1,0,0,0,0,0,0,0,0,1
Cirrhibarbis capensis,0,1,1,0,0,0,0,0,1,0,0
Cirrhigaleus asper,1,0,0,0,0,0,0,0,0,0,0
Cirrhigaleus barbifer,1,0,0,0,0,0,0,0,0,0,0
Cirrhilabrus adornatus,0,1,0,0,0,0,0,0,0,0,0
Cirrhilabrus aurantidorsalis,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus balteatus,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus bathyphilus,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus beauperryi,0,0,0,1,0,0,0,0,0,0,0
Cirrhilabrus blatteus,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus brunneus,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus cenderawasih,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus claire,1,0,0,0,0,0,0,0,0,0,0
Cirrhilabrus condei,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus cyanopleura,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus earlei,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus exquisitus,0,0,0,1,0,1,0,0,0,1,0
Cirrhilabrus filamentosus,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus flavidorsalis,0,0,0,0,0,0,0,1,0,0,0
Cirrhilabrus humanni,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus hygroxerus,0,0,0,1,0,0,0,0,0,0,1
Cirrhilabrus isosceles,0,1,0,0,0,1,0,0,0,0,0
Cirrhilabrus joanallenae,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus johnsoni,1,0,0,0,0,0,0,0,0,0,0
Cirrhilabrus jordani,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus katherinae,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus katoi,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus laboutei,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus lanceolatus,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus lineatus,0,0,0,0,1,0,0,0,0,0,0
Cirrhilabrus lubbocki,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus lunatus,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus luteovittatus,0,0,0,0,0,1,0,0,0,0,1
Cirrhilabrus lyukyuensis,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus marjorie,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus melanomarginatus,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus nahackyi,0,0,0,1,0,0,0,0,0,0,0
Cirrhilabrus naokoae,0,0,0,0,0,1,0,0,0,0,1
Cirrhilabrus punctatus,0,0,0,1,0,0,0,0,0,0,0
Cirrhilabrus pylei,0,0,0,1,0,1,0,0,0,0,0
Cirrhilabrus randalli,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus rhomboidalis,0,0,0,0,1,0,0,0,0,0,0
Cirrhilabrus roseafascia,0,0,0,1,0,0,0,0,0,0,0
Cirrhilabrus rubrimarginatus,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus rubripinnis,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus rubrisquamis,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus rubriventralis,0,0,0,1,0,0,0,0,0,0,1
Cirrhilabrus sanguineus,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus scottorum,0,0,1,0,0,0,0,0,0,0,1
Cirrhilabrus solorensis,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus temminckii,0,0,0,0,0,1,0,0,0,0,0
Cirrhilabrus tonozukai,0,0,0,0,0,0,0,0,0,0,1
Cirrhilabrus walindi,1,0,0,0,0,0,0,0,0,0,0
Cirrhilabrus walshi,1,0,0,0,0,0,0,0,0,0,0
Cirrhimuraena playfairii,1,0,0,0,0,0,0,0,0,0,0
Cirrhinus cirrhosus,1,0,0,0,0,0,0,0,0,0,0
Cirrhinus jullieni,1,0,0,0,0,0,0,0,0,0,0
Cirrhinus microlepis,1,0,0,0,0,0,0,0,0,0,0
Cirrhinus molitorella,1,0,0,0,0,0,0,0,0,0,0
Cirrhinus mrigala,1,0,0,0,0,0,0,0,0,0,0
Cirrhinus reba,1,0,0,0,0,0,0,0,0,0,0
Cirrhinus rubirostris,1,0,0,0,0,0,0,0,0,0,0
Cirrhitichthys aprinus,0,0,1,0,0,0,0,0,1,0,0
Cirrhitichthys aureus,0,1,1,0,0,0,0,0,1,0,0
Cirrhitichthys bleekeri,0,1,1,0,0,0,0,0,0,0,0
Cirrhitichthys calliurus,0,1,1,0,0,0,0,0,0,0,0
Cirrhitichthys falco,0,0,1,0,0,0,0,0,1,0,0
Cirrhitichthys guichenoti,0,0,1,0,0,0,0,0,1,0,0
Cirrhitichthys oxycephalus,0,0,1,0,0,0,0,0,0,0,0
Cirrhitops fasciatus,0,0,0,1,1,0,0,1,0,1,0
Cirrhitops hubbardi,0,0,0,1,1,0,0,1,0,0,0
Cirrhitops mascarenensis,0,1,1,0,0,0,0,0,1,1,0
Cirrhitus atlanticus,0,0,0,1,0,0,0,0,0,0,1
Cirrhitus pinnulatus,0,1,1,1,1,0,0,0,0,0,0
Cirrhitus rivulatus,0,0,1,0,1,0,0,0,0,0,0
Cirriemblemaria lucasana,0,0,0,0,0,0,0,0,1,0,0
Cirrimaxilla formosa,0,0,0,0,1,0,0,0,0,0,0
Cirripectes alboapicalis,0,0,0,1,0,0,0,0,0,0,0
Cirripectes auritus,0,0,1,0,1,0,0,0,0,1,0
Cirripectes castaneus,0,0,0,1,1,0,0,1,0,0,0
Cirripectes chelomatus,0,1,1,0,0,0,0,0,0,0,0
Cirripectes filamentosus,1,0,0,0,0,0,0,0,0,0,0
Cirripectes fuscoguttatus,0,0,1,0,0,0,0,0,0,0,0
Cirripectes gilberti,0,0,1,0,0,0,0,0,0,0,0
Cirripectes heemstraorum,0,0,1,0,0,0,0,0,0,1,1
Cirripectes imitator,0,0,0,1,0,0,0,1,0,0,0
Cirripectes kuwamurai,0,0,0,1,1,1,0,0,0,0,0
Cirripectes obscurus,0,1,0,1,0,0,0,0,0,0,0
Cirripectes perustus,0,1,0,0,0,0,0,0,0,0,0
Cirripectes polyzona,0,0,0,0,0,0,0,1,0,0,0
Cirripectes quagga,0,0,0,1,1,0,0,1,0,0,1
Cirripectes randalli,0,1,1,0,0,0,0,0,0,0,0
Cirripectes springeri,0,0,1,0,0,0,0,0,0,0,0
Cirripectes stigmaticus,0,0,0,0,1,0,0,0,0,0,0
Cirripectes vanderbilti,1,0,0,1,0,0,0,0,0,0,1
Cirripectes variolosus,1,0,0,1,0,0,0,0,0,0,0
Cirrisalarias bunares,0,1,0,0,0,0,0,1,0,0,0
Citharichthys abbotti,0,1,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,1,0,0,0,0,0,0,0,0,0,0
Citharichthys cornutus,1,0,0,0,0,0,0,0,0,0,0
Citharichthys darwini,0,1,0,0,0,0,0,0,0,0,0
Citharichthys gilberti,0,1,0,0,0,0,0,0,0,0,0
Citharichthys macrops,0,1,1,0,0,0,0,0,0,0,0
Citharichthys platophrys,1,0,0,0,0,0,0,0,0,0,0
Citharichthys sordidus,0,1,1,0,0,0,0,0,0,0,0
Citharichthys spilopterus,0,1,1,1,0,0,0,0,0,0,0
Citharichthys stigmaeus,0,1,1,1,0,0,0,0,0,0,0
Citharichthys uhleri,0,1,1,1,0,0,0,0,0,0,0
Citharichthys xanthostigma,1,0,0,0,0,0,0,0,0,0,0
Citharidium ansorgii,1,0,0,0,0,0,0,0,0,0,0
Citharinus citharus,1,0,0,0,0,0,0,0,0,0,0
Citharinus citharus citharus,1,0,0,0,0,0,0,0,0,0,0
Citharinus congicus,1,0,0,0,0,0,0,0,0,0,0
Citharinus gibbosus,1,0,0,0,0,0,0,0,0,0,0
Citharinus latus,1,0,0,0,0,0,0,0,0,0,0
Citharoides macrolepidotus,1,0,0,0,0,0,0,0,0,0,0
Citharus linguatula,1,0,0,0,0,0,0,0,0,0,0
Clariallabes centralis,0,0,0,1,0,0,0,0,0,0,0
Clariallabes heterocephalus,0,0,0,1,0,0,0,0,0,0,0
Clariallabes manyangae,1,0,0,0,0,0,0,0,0,0,0
Clariallabes mutsindoziensis,1,0,0,0,0,0,0,0,0,0,0
Clariallabes teugelsi,1,0,0,0,0,0,0,0,0,0,0
Clarias abbreviatus,1,0,0,0,0,0,0,0,0,0,0
Clarias alluaudi,0,0,0,0,0,1,0,0,0,0,0
Clarias angolensis,0,1,1,0,0,0,0,0,0,0,0
Clarias batrachus,0,1,1,0,0,0,0,0,0,0,0
Clarias batu,1,0,0,1,0,0,0,0,0,0,0
Clarias brachysoma,1,0,0,0,0,0,0,0,0,0,0
Clarias buettikoferi,1,0,0,0,0,0,0,0,0,0,0
Clarias camerunensis,1,0,0,0,0,0,0,0,0,0,0
Clarias dhonti,1,0,0,0,0,0,0,0,0,0,0
Clarias dumerilii,1,0,0,0,0,0,0,0,0,0,0
Clarias dussumieri,0,1,0,0,0,0,0,0,0,0,0
Clarias ebriensis,1,0,0,0,0,0,0,0,0,0,0
Clarias fuscus,0,1,0,0,0,0,0,0,0,0,0
Clarias gariepinus,0,1,0,0,0,0,0,0,0,0,0
Clarias gracilentus,0,0,0,1,0,0,0,0,0,0,0
Clarias insolitus,1,0,0,0,0,0,0,0,0,0,0
Clarias intermedius,1,0,0,0,0,0,0,0,0,0,0
Clarias jaensis,1,0,0,0,0,0,0,0,0,0,0
Clarias laeviceps,1,0,0,0,0,0,0,0,0,0,0
Clarias lamottei,0,0,1,0,0,0,0,0,0,0,0
Clarias leiacanthus,0,0,0,1,0,0,0,0,0,0,0
Clarias liocephalus,0,1,0,0,0,0,0,0,0,0,0
Clarias macrocephalus,1,0,0,0,0,0,0,0,0,0,0
Clarias magur,0,1,0,0,0,0,0,0,0,0,0
Clarias meladerma,0,0,1,0,0,0,0,0,0,0,0
Clarias nieuhofii,1,0,0,0,0,0,0,0,0,0,0
Clarias nigromarmoratus,0,1,0,0,0,0,0,0,0,0,0
Clarias pachynema,0,1,0,0,0,0,0,0,0,0,0
Clarias stappersii,1,0,0,0,0,0,0,0,0,0,0
Clarias teijsmanni,0,0,0,1,0,0,0,0,0,0,0
Clarias werneri,1,0,0,0,0,0,0,0,0,0,0
Clariger cosmurus,0,0,0,0,0,0,0,0,0,0,1
Clariger exilis,0,0,0,0,0,0,0,0,0,0,1
Clarkichthys bilineatus,0,0,0,0,0,1,0,0,0,0,0
Clarotes bidorsalis,1,0,0,0,0,0,0,0,0,0,0
Clarotes laticeps,1,0,0,0,0,0,0,0,0,0,0
Cleidopus gloriamaris,0,0,0,1,0,0,0,0,0,0,0
Cleithracara maronii,0,0,0,0,0,0,0,1,0,1,0
Clepticus africanus,0,1,0,0,0,0,0,0,0,0,1
Clepticus brasiliensis,0,1,0,0,0,0,0,0,0,0,0
Clepticus parrae,0,1,0,0,0,0,0,0,0,0,1
Clevelandia ios,1,0,0,0,0,0,0,0,0,0,0
Clidoderma asperrimum,0,0,0,1,0,0,0,0,0,0,0
Clinitrachus argentatus,0,1,0,0,0,0,0,1,0,0,0
Clinocottus analis,0,1,0,0,0,0,0,0,0,0,0
Clinocottus globiceps,0,1,0,0,0,0,0,0,0,0,0
Clinostomus elongatus,0,0,0,0,0,1,0,0,0,0,0
Clinostomus funduloides,0,0,0,0,0,1,0,0,0,0,0
Clinus superciliosus,0,1,0,0,0,0,0,0,1,0,0
Clinus venustris,0,1,0,0,0,0,0,0,0,1,0
Clupanodon thrissa,0,0,1,0,0,0,0,0,0,0,0
Clupea harengus,1,0,0,0,0,0,0,0,0,0,0
Clupea pallasii,1,0,0,0,0,0,0,0,0,0,0
Clupea pallasii pallasii,1,0,0,0,0,0,0,0,0,0,0
Clupeichthys aesarnensis,1,0,0,0,0,0,0,0,0,0,0
Clupeichthys goniognathus,1,0,0,0,0,0,0,0,0,0,0
Clupeoides borneensis,1,0,0,0,0,0,0,0,0,0,0
Clupeonella cultriventris,1,0,0,0,0,0,0,0,0,0,0
Clupeonella tscharchalensis,1,0,0,0,0,0,0,0,0,0,0
